customer_id,company_name,contact_email,plan_id,status,start_date,end_date,user_id,event_type,timestamp,session_duration,churned,used_feature_x
1,Rush Platform,michael.baker@corp.net,1,cancelled,2023-01-31,2023-04-20,,,,,True,False
1,Rush Platform,michael.baker@corp.net,5,cancelled,2023-04-20,2024-02-26,,,,,True,False
2,TrekStack,emily.moore+work@startup.co,1,paused,2023-06-09,,,,,,False,False
3,Wave Group,olga.robinson@wavegroup.com,1,active,2023-10-28,,,,,,False,False
4,KeenSoftware,lars.jackson@outlook.com,1,expired,2024-04-09,2024-08-10,,,,,True,False
4,KeenSoftware,lars.jackson@outlook.com,6,active,2024-08-10,,,,,,False,False
5,QuestAnalytics,joshua.green@yahoo.com,1,cancelled,2023-10-04,2024-10-01,,,,,True,False
5,QuestAnalytics,joshua.green@yahoo.com,3,active,2024-10-01,,,,,,False,False
6,RiftWorks,sofia.williams@outlook.com,1,paused,2025-08-23,,,,,,False,False
7,PeakIO,elizabeth.taylor@tech.dev,1,active,2024-08-21,,,,,,False,False
8,Data Systems,mei.baker@startup.co,1,active,2024-04-24,,,,,,False,False
9,Iris Hub,lisa.davis@gmail.com,1,active,2025-06-15,,,,,,False,False
10,GlowSystems,steven.hill@yahoo.com,5,active,2025-03-08,,,,,,False,False
11,Xenon Cloud,andrew.garcia@outlook.com,2,active,2024-06-29,,,,,,False,False
12,QuarkDev,priya.patel@startup.co,6,active,2024-10-27,,,,,,False,False
13,Vertex Labs,Emily.Anderson@gmail.com,1,cancelled,2025-07-16,2025-09-16,,,,,True,False
14,Keen Ventures,hassan.clark@startup.co,1,cancelled,2024-02-25,2025-01-03,,,,,True,False
14,Keen Ventures,hassan.clark@startup.co,5,cancelled,2025-01-03,2025-05-17,,,,,True,False
14,Keen Ventures,hassan.clark@startup.co,6,active,2025-05-17,,,,,,False,False
15,DataLogic,jessica.gonzalez@startup.co,2,active,2024-04-18,,,,,,False,False
16,Iris Labs,william.clark@startup.co,2,active,2023-06-18,,,,,,False,False
17,DriftCloud,wei.rivera@hotmail.com,2,cancelled,2024-08-16,2024-12-16,,,,,True,False
17,DriftCloud,wei.rivera@hotmail.com,5,cancelled,2024-12-16,2025-04-02,,,,,True,False
17,DriftCloud,wei.rivera@hotmail.com,2,active,2025-04-02,,,,,,False,False
18,LinkIO,patricia.allen@linkio.com,4,active,2025-06-01,,,,,,False,False
19,Flow Corp,dorothy.lee@company.io,3,expired,2024-02-10,2025-01-26,,,,,True,False
19,Flow Corp,dorothy.lee@company.io,4,cancelled,2025-01-26,2025-07-25,,,,,True,False
20,AcmeHQ,paul.wilson@company.io,6,active,2025-06-19,,,,,,False,False
21,NexusStack,karen.nelson@nexusstack.com,4,active,2023-04-20,,,,,,False,False
22,Onyx Analytics,ana.brown@onyxanalytics.com,5,active,2023-12-08,,,,,,False,False
23,KitePro,james.davis@yahoo.com,6,cancelled,2025-05-04,2025-09-11,,,,,True,False
23,KitePro,james.davis@yahoo.com,1,cancelled,2025-09-11,2025-11-10,,,,,True,False
23,KitePro,james.davis@yahoo.com,3,active,2025-11-10,,,,,,False,False
24,TidalStudio,daniel.wilson@company.io,3,active,2025-06-24,,,,,,False,False
25,PulseSolutions,mary.lopez@startup.co,1,active,2025-06-03,,,,,,False,False
26,YieldAI,daniel.martin@yieldai.com,4,cancelled,2023-07-17,2023-12-01,,,,,True,False
26,YieldAI,daniel.martin@yieldai.com,6,active,2023-12-01,,,,,,False,False
27,WaveStack,lisa.johnson@yahoo.com,1,cancelled,2023-09-29,2024-04-14,,,,,True,False
27,WaveStack,lisa.johnson@yahoo.com,3,expired,2024-04-14,2024-09-22,,,,,True,False
27,WaveStack,lisa.johnson@yahoo.com,4,cancelled,2024-09-22,2025-02-03,,,,,True,False
28,Keen Software,margaret.smith@hotmail.com,3,cancelled,2023-03-13,2024-01-12,,,,,True,False
28,Keen Software,margaret.smith@hotmail.com,3,active,2024-01-12,,,,,,False,False
29,QuestSystems,wei.clark@questsystems.com,2,expired,2024-03-06,2024-12-20,,,,,True,False
29,QuestSystems,wei.clark@questsystems.com,3,expired,2024-12-20,2025-06-05,,,,,True,False
29,QuestSystems,wei.clark@questsystems.com,5,active,2025-06-05,,,,,,False,False
30,NexusVentures,karen.jackson@corp.net,2,active,2024-04-21,,,,,,False,False
31,VineSolutions,aisha.flores@hotmail.com,4,active,2023-08-19,,,,,,False,False
32,Arc Stack,carlos.harris@gmail.com,3,active,2025-05-31,,,,,,False,False
33,SageDev,sandra.rodriguez@tech.dev,5,active,2025-08-30,,,,,,False,False
34,JadeHQ,mark.taylor@protonmail.com,3,cancelled,2024-06-17,2025-02-04,,,,,True,False
34,JadeHQ,mark.taylor@protonmail.com,4,active,2025-02-04,,,,,,False,False
35,PulseAnalytics,david.martinez@pulseanalytics.com,2,active,2024-02-22,,,,,,False,False
36,YieldHub,Matthew.Walker@startup.co,5,active,2025-09-03,,,,,,False,False
37,Flux Labs,fatima.tanaka@enterprise.com,3,cancelled,2025-10-01,2025-12-01,,,,,True,False
37,Flux Labs,fatima.tanaka@enterprise.com,4,active,2025-12-01,,,,,,False,False
38,FlowStack,patricia.taylor@company.io,2,expired,2025-06-19,2025-09-16,,,,,True,False
38,FlowStack,patricia.taylor@company.io,6,active,2025-09-16,,,,,,False,False
39,QuarkTech,daniel.anderson@gmail.com,1,active,2025-08-30,,,,,,False,False
40,PulseDigital,sandra.hall@corp.net,2,active,2025-02-04,,,,,,False,False
41,TidalSystems,fatima.harris@outlook.com,2,active,2025-04-30,,,,,,False,False
42,KeenAI,robert.allen+nimbus@keenai.com,5,active,2025-09-10,,,,,,False,False
43,TrekDigital,sarah.flores@enterprise.com,5,cancelled,2025-04-25,2025-07-29,,,,,True,False
43,TrekDigital,sarah.flores@enterprise.com,4,expired,2025-07-29,2025-10-28,,,,,True,False
43,TrekDigital,sarah.flores@enterprise.com,1,active,2025-10-28,,,,,,False,False
44,Drift Ventures,lisa.johnson@enterprise.com,6,expired,2025-03-27,2025-10-06,,,,,True,False
44,Drift Ventures,lisa.johnson@enterprise.com,1,active,2025-10-06,,,,,,False,False
45,JadeLabs,olga.clark@enterprise.com,1,active,2024-05-17,,,,,,False,False
46,SagePlatform,kimberly.king@tech.dev,1,active,2024-12-20,,,,,,False,False
47,UltraSystems,richard.wilson@corp.net,4,expired,2024-06-21,2025-02-18,,,,,True,False
47,UltraSystems,richard.wilson@corp.net,3,active,2025-02-18,,,,,,False,False
48,SyncPlatform,paul.rodriguez@tech.dev,3,expired,2025-08-24,2025-10-28,,,,,True,False
48,SyncPlatform,paul.rodriguez@tech.dev,2,cancelled,2025-10-28,2025-12-28,,,,,True,False
48,SyncPlatform,paul.rodriguez@tech.dev,6,cancelled,2025-12-28,2025-10-29,,,,,True,False
49,EchoIO,kenji.walker@echoio.com,1,active,2024-10-06,,,,,,False,False
50,Warp Corp,joseph.singh@enterprise.com,1,expired,2024-08-25,2024-11-07,,,,,True,False
50,Warp Corp,joseph.singh@enterprise.com,2,expired,2024-11-07,2025-04-03,,,,,True,False
50,Warp Corp,joseph.singh@enterprise.com,1,active,2025-04-03,,,,,,False,False
51,WarpSoftware,william.thomas@gmail.com,3,active,2024-12-06,,,,,,False,False
52,Orbit Analytics,emily.nelson@outlook.com,1,cancelled,2024-10-25,2025-03-07,,,,,True,False
53,MistPro,linda.robinson@protonmail.com,3,expired,2024-05-20,2024-12-20,,,,,True,False
53,MistPro,linda.robinson@protonmail.com,1,active,2024-12-20,,,,,,False,False
54,Orbit Ops,emily.johnson@protonmail.com,1,active,2025-02-20,,,,,,False,False
55,LunaVentures,donald.thompson@outlook.com,2,cancelled,2023-12-04,2024-05-31,,,,,True,False
55,LunaVentures,donald.thompson@outlook.com,4,active,2024-05-31,,,,,,False,False
56,Flow Works,lars.sanchez@gmail.com,2,expired,2024-07-09,2025-03-08,,,,,True,False
56,Flow Works,lars.sanchez@gmail.com,5,active,2025-03-08,,,,,,False,False
57,OnyxHQ,david.jackson@onyxhq.com,4,active,2024-10-07,,,,,,False,False
58,Hub HQ,ashley.rivera@startup.co,3,active,2025-09-30,,,,,,False,False
59,MistDev,sarah.singh@tech.dev,2,active,2023-01-03,,,,,,False,False
60,JetHQ,priya.wright@hotmail.com,1,cancelled,2023-09-02,2024-08-08,,,,,True,False
60,JetHQ,priya.wright@hotmail.com,5,active,2024-08-08,,,,,,False,False
61,UltraPro,matthew.nelson@yahoo.com,1,cancelled,2023-02-07,2025-09-10,,,,,True,False
62,GridDev,anthony.adams@protonmail.com,3,cancelled,2024-12-10,2025-08-24,,,,,True,False
62,GridDev,anthony.adams@protonmail.com,3,active,2025-08-24,,,,,,False,False
63,UltraStack,john.flores@protonmail.com,1,cancelled,2025-02-03,2025-06-29,,,,,True,False
63,UltraStack,john.flores@protonmail.com,4,cancelled,2025-06-29,2025-04-12,,,,,True,False
64,CoreSolutions,charles.muller@coresolutions.com,2,active,2024-06-27,,,,,,False,False
65,Yield Group,emily.martinez@enterprise.com,1,active,2023-01-10,,,,,,False,False
66,EdgeHQ,margaret.hall@hotmail.com,1,active,2025-05-23,,,,,,False,False
67,Quest Logic,kenji.baker@corp.net,1,active,2025-05-02,,,,,,False,False
68,Quark Ops,fatima.santos@gmail.com,6,cancelled,2024-03-27,2025-02-03,,,,,True,False
69,Ion Dynamics,steven.moore@enterprise.com,1,active,2023-10-30,,,,,,False,False
70,JetHub,fatima.sanchez@jethub.com,1,expired,2024-02-09,2024-12-20,,,,,True,False
70,JetHub,fatima.sanchez@jethub.com,4,cancelled,2024-12-20,2025-04-30,,,,,True,False
71,LinkLogic,Joseph.Walker@tech.dev,5,cancelled,2024-09-16,2025-08-02,,,,,True,False
71,LinkLogic,Joseph.Walker@tech.dev,7,active,2025-08-02,,,,,,False,False
72,Cloud AI,michael.thomas@enterprise.com,1,expired,2025-08-30,2025-10-30,,,,,True,False
72,Cloud AI,michael.thomas@enterprise.com,2,active,2025-10-30,,,,,,False,False
73,LinkPro,michael.santos@linkpro.com,2,active,2024-01-15,,,,,,False,False
74,GridOps,patricia.sanchez@gridops.com,3,active,2023-08-06,,,,,,False,False
75,NovaTech,susan.ivanov@yahoo.com,1,cancelled,2024-09-02,2025-01-22,,,,,True,False
76,Wave Platform,barbara.taylor@waveplatform.com,3,expired,2023-03-07,2023-10-21,,,,,True,False
76,Wave Platform,barbara.taylor@waveplatform.com,2,active,2023-10-21,,,,,,False,False
77,Nexus AI,dorothy.martin@gmail.com,4,cancelled,2025-05-17,2025-08-02,,,,,True,False
77,Nexus AI,dorothy.martin@gmail.com,4,active,2025-08-02,,,,,,False,False
78,Rush Group,yuki.lee@protonmail.com,5,active,2024-09-11,,,,,,False,False
79,PeakStack,margaret.lewis@enterprise.com,4,cancelled,2025-01-17,2025-07-31,,,,,True,False
80,JetOps,jennifer.ramirez@yahoo.com,5,active,2024-08-23,,,,,,False,False
81,WaveOps,patricia.jackson@corp.net,4,expired,2023-06-08,2023-12-15,,,,,True,False
81,WaveOps,patricia.jackson@corp.net,5,active,2023-12-15,,,,,,False,False
82,Orbit Corp,donna.baker+test@orbitcorp.com,4,active,2023-10-07,,,,,,False,False
83,LunaDigital,ahmed.green@tech.dev,1,active,2024-03-05,,,,,,False,False
84,ZealVentures,william.kim@protonmail.com,1,active,2024-03-10,,,,,,False,False
85,Rift Ops,Wei.Martin@riftops.com,1,active,2023-07-29,,,,,,False,False
86,Flux Pro,matthew.wright@fluxpro.com,4,active,2025-06-01,,,,,,False,False
87,UltraVentures,anthony.jackson+nimbus@yahoo.com,4,cancelled,2024-09-24,2025-08-02,,,,,True,False
87,UltraVentures,anthony.jackson+nimbus@yahoo.com,2,active,2025-08-02,,,,,,False,False
88,FlowCorp,betty.king@company.io,1,cancelled,2025-03-08,2025-10-22,,,,,True,False
89,WavePro,jessica.miller@corp.net,6,active,2025-02-16,,,,,,False,False
90,DriftHub,andrew.adams@company.io,3,active,2023-03-11,,,,,,False,False
91,LinkAI,mark.williams@outlook.com,4,expired,2025-09-27,2025-11-27,,,,,True,False
91,LinkAI,mark.williams@outlook.com,3,active,2025-11-27,,,,,,False,False
92,DriftVentures,mark.tanaka@corp.net,5,cancelled,2023-06-04,2023-09-26,,,,,True,False
92,DriftVentures,mark.tanaka@corp.net,1,active,2023-09-26,,,,,,False,False
93,TrekTech,yuki.lewis@corp.net,4,active,2024-01-17,,,,,,False,False
94,OnyxStack,fatima.harris@corp.net,1,cancelled,2023-12-08,2025-06-05,,,,,True,False
95,PeakNet,jennifer.martin@company.io,4,expired,2024-11-17,2025-06-29,,,,,True,False
95,PeakNet,jennifer.martin@company.io,3,cancelled,2025-06-29,2025-10-20,,,,,True,False
95,PeakNet,jennifer.martin@company.io,5,active,2025-10-20,,,,,,False,False
96,PeakOps,karen.lopez@enterprise.com,2,expired,2023-05-21,2024-05-12,,,,,True,False
